1.045	421.189
1.239	562.551
1.492	715.735
1.870	1037.009
2.215	1382.944
2.574	1632.774
3.089	2195.252
3.646	2659.243
4.280	3182.235
4.977	3729.496
6.374	4641.230
7.671	5105.631
9.299	5105.631
11.217	4722.182
14.061	3814.874
16.776	2744.434
19.280	2127.100
22.843	1447.724
25.749	1101.152
30.684	620.417
35.159	315.427
39.919	137.045
43.870	49.605
47.583	18.389
50.396	10.388
55.048	6.425
61.201	9.112
71.981	10.577
82.379	6.771
88.390	4.095
95.983	2.045
101.694	0.935
108.982	0.379
112.946	0.220
123.172	0.143
143.054	0.130
151.897	0.091
161.910	0.050
170.745	0.025
181.502	0.010
188.332	0.005
195.113	0.002
211.851	0.001
237.234	6.940e-4
252.103	3.747e-4
264.567	1.736e-4
271.228	1.068e-4
